frame,layout_fibers,paint_fibers,paint_replayed,prepaint_fibers,prepaint_replayed,mutated_segments,total_segments,hitboxes,hitboxes_rebuilt,upload_bytes,quads,mono_sprites,poly_sprites,reconcile_us,layout_us,prepaint_us,paint_us,total_us
74,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,148,823,5,13,1044
75,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,131,424,5,12,623
76,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,144,365,5,11,575
77,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,144,385,5,12,596
78,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,151,412,6,12,633
79,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,127,299,4,10,488
80,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,133,324,4,11,520
81,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,123,290,4,9,474
82,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,158,370,4,10,590
83,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,128,352,4,10,541
84,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,132,396,4,11,592
85,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,150,380,5,13,598
86,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,150,420,5,11,638
87,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,142,447,5,12,661
88,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,144,309,4,11,517
89,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,121,301,3,8,480
90,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,128,352,4,10,544
91,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,168,446,7,14,686
92,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,217,633,9,18,932
93,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,154,411,6,13,636
94,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,152,0,6,33,195
95,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,123,458,5,12,650
96,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,189,466,7,15,744
97,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,151,357,5,13,588
98,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,151,398,5,12,632
99,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,176,463,6,12,734
100,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,142,0,5,11,162
101,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,145,431,4,11,650
102,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,161,399,4,10,640
103,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,145,348,3,9,565
104,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,170,395,7,13,651
105,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,158,380,5,11,621
106,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,150,402,5,13,634
107,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,154,385,25,12,662
108,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,140,333,4,10,546
109,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,143,345,4,10,566
110,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,149,372,4,10,599
111,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,172,473,6,13,726
112,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,155,341,5,11,571
113,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,146,368,5,11,586
114,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,134,348,4,9,561
115,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,131,320,4,9,522
116,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,139,343,4,9,557
117,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,155,438,4,11,670
118,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,161,347,4,10,581
119,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,142,344,4,10,578
120,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,153,356,5,11,586
121,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,173,319,4,9,564
122,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,255,349,4,10,681
123,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,153,399,4,10,628
124,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,144,351,4,9,570
125,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,151,0,4,10,169
126,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,149,0,4,9,166
127,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,169,0,6,12,192
128,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,204,0,7,14,230
129,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,168,792,6,13,1048
130,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,185,441,6,13,707
131,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,156,391,5,11,624
132,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,173,0,5,12,194
133,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,150,0,5,11,170
134,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,149,0,4,10,167
135,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,165,730,7,14,974
136,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,146,438,5,11,653
137,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,153,403,5,11,621
138,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,148,0,4,9,164
139,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,118,0,4,9,134
140,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,138,535,5,11,740
141,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,140,357,5,12,566
142,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,151,387,6,12,607
143,47,5,5,5,5,5,2180,1056,false,219216,363,972,0,153,418,5,11,635
144,0,5,5,5,5,5,2180,1056,false,219216,363,972,0,156,0,4,10,175
